water_name,county,raw_species,standardized_species,quantity,length,stock_date,source_year,lake_id,match_type,match_details
ECHO RES,SUMMIT,RAINBOW,Rainbows,10292,9.31,2017-05-01,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,8772,9.9,2017-05-01,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,4644,9.9,2017-05-01,2017,,none,No match found
ECHO RES,SUMMIT,RAINBOW,Rainbows,11232,9.54,2017-05-02,2017,,none,No match found
ELKHORN L W-64,SUMMIT,BROOK TROUT,Brookies,105,2.29,2017-07-12,2017,487,exact,Matched on letter-number: W-64
"ERICKSON L,SOUTH W25",SUMMIT,BROOK TROUT,Brookies,859,2.29,2017-07-12,2017,488,exact,Matched on letter-number: W-25
G- 40,SUMMIT,BROOK TROUT,Brookies,310,2.53,2017-07-09,2017,663,exact,Matched on letter-number: G-40
G- 80,SUMMIT,BROOK TROUT,Brookies,84,2.29,2017-07-12,2017,614,exact,Matched on letter-number: G-80
GR-119,SUMMIT,GRAYLING ARCTIC,Grayling,300,2.79,2017-09-20,2017,666,exact,Matched on letter-number: GR-119
GR-145,SUMMIT,GRAYLING ARCTIC,Grayling,907,2.79,2017-09-26,2017,69,exact,Matched on letter-number: GR-145
GR-162,SUMMIT,BROOK TROUT,Brookies,713,2.53,2017-07-09,2017,72,exact,Matched on letter-number: GR-162
HAYDEN FK,SUMMIT,RAINBOW,Rainbows,300,10.03,2017-06-27,2017,,none,No match found
HAYDEN FK,SUMMIT,RAINBOW,Rainbows,301,10.98,2017-07-17,2017,,none,No match found
HAYDEN FK,SUMMIT,RAINBOW,Rainbows,299,10.68,2017-07-31,2017,,none,No match found
HOOP L,SUMMIT,RAINBOW,Rainbows,3500,9.87,2017-06-08,2017,93,high,Matched on normalized word name: HOOP LAKE
HOOP L,SUMMIT,RAINBOW,Rainbows,8010,3.82,2017-06-08,2017,93,high,Matched on normalized word name: HOOP LAKE
ISLAND L G-9,SUMMIT,TIGER TROUT,Tigers,1000,2.71,2017-06-29,2017,200,exact,Matched on letter-number: G-9
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,198,10.24,2017-06-26,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,TIGER TROUT,Tigers,200,8.98,2017-06-27,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,298,10.96,2017-07-03,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,200,10.6,2017-07-10,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,TIGER TROUT,Tigers,399,9.92,2017-07-12,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,TIGER TROUT,Tigers,399,9.92,2017-07-17,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,301,10.98,2017-07-19,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,200,10.77,2017-07-25,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,TIGER TROUT,Tigers,399,9.92,2017-07-31,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,199,10.68,2017-07-31,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,201,10.68,2017-08-07,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,TIGER TROUT,Tigers,131,10.63,2017-08-14,2017,281,exact,Matched on letter-number: A-58
LILLY L A-58,SUMMIT,RAINBOW,Rainbows,271,11.44,2017-08-22,2017,281,exact,Matched on letter-number: A-58
LILY L BR-11,SUMMIT,RAINBOW,Rainbows,1196,9.87,2017-06-05,2017,51,exact,Matched on letter-number: BR-11
LILY L BR-11,SUMMIT,RAINBOW,Rainbows,1200,10.24,2017-06-26,2017,51,exact,Matched on letter-number: BR-11
LILY L BR-11,SUMMIT,RAINBOW,Rainbows,1100,10.77,2017-07-26,2017,51,exact,Matched on letter-number: BR-11
LITTLE HIDDEN L W-21,SUMMIT,BROOK TROUT,Brookies,503,2.29,2017-07-12,2017,496,exact,Matched on letter-number: W-21
LORENA L BR-46,SUMMIT,BROOK TROUT,Brookies,1194,2.29,2017-07-12,2017,43,exact,Matched on letter-number: BR-46
LOST L A-59,SUMMIT,RAINBOW,Rainbows,2503,10.01,2017-06-20,2017,287,exact,Matched on letter-number: A-59
LOST L A-59,SUMMIT,RAINBOW,Rainbows,1998,9.75,2017-07-03,2017,287,exact,Matched on letter-number: A-59
LOST L A-59,SUMMIT,BROOK TROUT,Brookies,1991,2.29,2017-07-12,2017,287,exact,Matched on letter-number: A-59
LOST L A-59,SUMMIT,TIGER TROUT,Tigers,637,10.68,2017-08-28,2017,287,exact,Matched on letter-number: A-59
"LYMAN L, LOWER G-25",SUMMIT,RAINBOW,Rainbows,806,9.87,2017-06-12,2017,618,exact,Matched on letter-number: G-25
"LYMAN L, LOWER G-25",SUMMIT,RAINBOW,Rainbows,799,10.07,2017-06-27,2017,618,exact,Matched on letter-number: G-25
"LYMAN L, LOWER G-25",SUMMIT,BROOK TROUT,Brookies,3519,2.53,2017-07-09,2017,618,exact,Matched on letter-number: G-25
"LYMAN L, LOWER G-25",SUMMIT,RAINBOW,Rainbows,1400,10.77,2017-07-26,2017,618,exact,Matched on letter-number: G-25
"LYMAN L, UPPER G-27",SUMMIT,RAINBOW,Rainbows,1001,9.87,2017-06-12,2017,619,exact,Matched on letter-number: G-27
"LYMAN L, UPPER G-27",SUMMIT,RAINBOW,Rainbows,1000,10.07,2017-06-27,2017,619,exact,Matched on letter-number: G-27
"LYMAN L, UPPER G-27",SUMMIT,TIGER TROUT,Tigers,1000,2.71,2017-06-27,2017,619,exact,Matched on letter-number: G-27
"LYMAN L, UPPER G-27",SUMMIT,BROOK TROUT,Brookies,1023,2.53,2017-07-09,2017,619,exact,Matched on letter-number: G-27
MARSH L G-19,SUMMIT,RAINBOW,Rainbows,4462,9.87,2017-06-07,2017,202,exact,Matched on letter-number: G-19
MARSH L G-19,SUMMIT,RAINBOW,Rainbows,541,9.87,2017-06-07,2017,202,exact,Matched on letter-number: G-19
P-11,SUMMIT,BROOK TROUT,Brookies,210,2.29,2017-07-12,2017,654,exact,Matched on letter-number: P-11
PRICE DAM,SUMMIT,RAINBOW,Rainbows,75,10.01,2017-06-19,2017,,none,No match found
PROVO R,SUMMIT,RAINBOW,Rainbows,250,10.03,2017-06-27,2017,,none,No match found
PROVO R,SUMMIT,RAINBOW,Rainbows,250,10.6,2017-07-10,2017,,none,No match found
PROVO R,SUMMIT,RAINBOW,Rainbows,250,10.77,2017-07-25,2017,,none,No match found
PROVO R,SUMMIT,RAINBOW,Rainbows,250,10.68,2017-08-07,2017,,none,No match found
QUARTER CORNER LG103,SUMMIT,RAINBOW,Rainbows,1208,10.6,2017-06-06,2017,655,exact,Matched on letter-number: G-103
RED CASTLE L G-15,SUMMIT,TIGER TROUT,Tigers,8750,2.71,2017-06-28,2017,205,exact,Matched on letter-number: G-15
RED CASTLE L G-15,SUMMIT,TIGER TROUT,Tigers,8032,2.63,2017-07-11,2017,205,exact,Matched on letter-number: G-15
"RED CASTLE,EAST G-17",SUMMIT,TIGER TROUT,Tigers,2098,2.63,2017-07-11,2017,177,exact,Matched on letter-number: G-17
