letter_number,printed_name,sub_drainage,access,trail_miles,elevation_ft,size_acres,depth_ft,campsites,spring_water,horse_feed,fish_species,stocking_cycle,note,source_edition
G-26,G-26,West Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-27,Upper Lyman,West Fork,North Slope Road (FR 58) to Lyman Lakes,0.0,9311,35.3,30,Y,Y,-,Brook/Rainbow,1,\N,2025
G-37,Duck,East Fork,"East Fork Road north of trailhead, east across EF on bench",0.5,9161,6.2,5,Y,N,Y,Grayling,1,\N,2025
G-65,G-65,Little East Fork,"East Fork Trail to Little East Fork, west from large meadow",6.75,10900,4.4,5,Y,N,limited,Brook,NR,\N,2025
G-66,G-66,Little East Fork,"East Fork Trail to Little East Fork, west from large dry park",5.75,10561,3.8,12,Y,Y,N,Brook,NR,\N,2025
G-67,G-67,Little East Fork,"East Fork Trail to Little East Fork, 1 mi north G-69",9.5,11158,7.1,25,N,Y,N,Brook,4,\N,2025
G-68,G-68,Little East Fork,"East Fork Trail to Little East Fork, 0.75 mi north of G-69",9.25,11421,4.2,6,N,Y,limited,Brook,2,\N,2025
G-69,G-69,Little East Fork,"East Fork Trail to Little East Fork, 1 mi west from head of large meadow",8.5,11109,4.8,13,N,N,limited,Cutthroat,NR,\N,2025
G-70,G-70,Little East Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-71,G-71,Little East Fork,"East Fork Trail to Little East Fork, 1.25 mi west from foot of Squaw Pass",10.25,11527,2.7,14,N,Y,N,Brook,3,\N,2025
G-72,G-72,Middle Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-73,Bobs,Middle Fork,Middle Fork Trail,10.25,11150,6.1,30,N,Y,N,Cutthroat,2,\N,2025
G-74,G-74,Middle Fork,Middle Fork Trail,9.5,10934,2.9,3,Y,Y,Y,Brook,3,\N,2025
G-75,G-75,Middle Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-76,Ejod,West Fork,"West Fork Trail, 0.25 mi northwest of Dead Horse",7.75,10900,5.7,12,N,N,limited,Cutthroat,NR,\N,2025
G-77,Dead Horse,West Fork,West Fork Trail,7.5,10878,14.8,41,Y,N,Y,Cutthroat,2,\N,2025
G-78,G-78,West Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-79,G-79,West Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-80,G-80,West Fork,"West Fork Trail to head of Buck Pasture, 0.75 mi west up steep ridge",3.25,10580,1.6,8,Y,Y,limited,Brook,4,\N,2025
G-81,G-81,West Fork,0.75 mi southwest of G-82,3.0,10665,1.7,5,Y,Y,limited,Cutthroat,NR,\N,2025
G-82,G-82,West Fork,0.5 mi southwest of lower end of meadow below Buck Pasture,2.25,10140,3.7,6,Y,N,Y,Brook,4,\N,2025
G-83,G-83,West Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-84,G-84,East Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-85,G-85,Middle Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
G-86,G-86,East Fork,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Unable to support a fishery,2025
