hike_number,letter_number,match_method,is_primary
80,GR-132,name,0
81,G-2,name,0
81,G-38,name,0
82,GR-150,name,1
82,GR-151,exact,0
82,GR-152,exact,0
82,GR-153,exact,0
83,BR-10,name,1
83,GR-144,name,0
83,GR-148,name,0
83,GR-149,name,0
84,GR-132,name,0
84,GR-140,name,1
84,GR-143,name,0
85,BR-10,name,0
85,GR-130,name,0
85,GR-131,name,0
85,GR-132,name,1
85,GR-133,name,0
85,GR-140,name,0
85,GR-143,name,0
86,A-59,name,0
86,GR-115,name,0
86,GR-149,name,0
86,GR-2,name,1
86,GR-25,name,0
86,GR-3,name,0
87,GR-125,name,1
87,GR-2,name,0
88,GR-3,name,0
88,GR-6,name,1
89,GR-12,name,0
89,GR-149,name,0
89,GR-17,name,0
89,GR-3,name,0
90,GR-18,name,0
90,GR-19,name,1
90,GR-20,exact,0
90,GR-21,exact,0
90,GR-22,name,0
90,GR-23,name,0
90,GR-24,name,0
