letter_number,name,drainage,basin,junesucker_notes,coordinates,map_link,size_acres,max_depth_ft,elevation_ft,dwr_notes,fish_species,fishing_pressure,jed_notes,status,trip_reports,notes_needs_update,no_fish,lat,lng,coord_source,coord_status
A-52,Shadow,Provo River Drainage,,\N,\N,\N,14.0,20,10060,"Shadow is located ¼ mile south of Washington Reservoir along the major drainage system. It is 14 acres, 10,060 feet in elevation, with 20 feet maximum depth. Campsites are present with an excellent source of spring water located along the southern margin of the lake. Horse feed is available but limited. Shadow contains a population of brook trout. Camping and fishing pressure is heavy.",Brookies,High,\N,\N,\N,0,0,40.6640982,-110.9764727,manual,confirmed
A-53,Tail,Provo River Drainage,,\N,\N,\N,9.8,13,9980,"Tail is a natural lake located south of Washington Reservoir in dense conifers. It is 9.8 acres, 9,980 feet in elevation, with 13 feet maximum depth. When Washington Reservoir is filled to capacity, there is a direct connection between the reservoir and Tail Lake. Access is ¼ mile southwest of the dam at Washington along the shoreline of the reservoir. There are several campsites but spring water is unavailable. Tail contains a good population of brook, cutthroat and rainbow trout. This lake isn't stocked. The fish either migrate from Washington Reservoir during high water or they are naturally produced. Angling pressure is heavy.","Brookies*, Cutthroats*, Rainbows*",High,\N,\N,\N,0,0,40.6690213,-110.9724945,manual,confirmed
A-54,Hope,Provo River Drainage,,\N,\N,\N,2.0,5,\N,"Hope is a shallow, productive, little lake located along the popular Notch Mountain Trail. It is located on a rock ledge overlooking Faith and Wall lakes. The surface area is 2.0 acres, maximum depth is 5 feet and the elevation is 10,340 feet. Camp sites are available with abundant horse feed but no spring water. Hope Lake is being experimentally stocked with brook trout.",Brookies*,Low,\N,\N,\N,0,0,40.7009161,-110.9543136,manual,confirmed
A-55,Shoestring,Provo River Drainage,,\N,\N,\N,\N,\N,\N,This lake does not sustain fish life. It is shown on the map as a landmark.,\N,\N,\N,\N,\N,0,1,40.6678868,-110.9556433,manual,confirmed
A-56,Junior,Provo River Drainage,,\N,\N,\N,2.8,11,10200,"This aesthetic meadow lake sits at the base of a steep, rocky ridge ¼ mile southwest of Island Lake (see directions to Island Lake). Direct access trails do not exist but horses can easily reach the lake. It is 2.8 acres, 10,200 feet in elevation, with 11 feet maximum depth. The outlet is a direct tributary to Fire Lake. Several campsites are present with up to 10 acres of horse feed. Available springs are too small to obtain water. Angling pressure is light. Junior Lake is subject to occasional winterkill, but has been known to produce some good cutthroat trout fishing.","Cutthroats, Tigers",Low,\N,\N,\N,0,0,40.6794922,-111.02384,manual,confirmed
A-57,Island,Provo River Drainage,,\N,\N,\N,28.0,40,10140,"Island Lake has a small dam across the outlet and is located 3¾ miles west of the Crystal Lake Trailhead on the Lake Country Trail. It is 28 acres maximum, 10,140 feet in elevation, with 40 feet maximum depth. The shoreline is characterized by rocky cliffs, open meadows and scattered conifers. Camping opportunities are available with some horse feed. There is no spring water. Island is a popular water and receives substantial fishing and camping activity. The lake contains populations of wary brook and cutthroat trout, and fishing is unpredictable.","Brookies*, Cutthroats, Tigers",High,\N,\N,\N,0,0,40.6838731,-111.0181372,manual,confirmed
A-58,Lilly,Provo River Drainage,,\N,\N,\N,4.1,13,9800,"Lilly is located 300 yards east of Teapot Lake adjacent to the Mirror Lake Highway (U-150). It is 4.1 acres, 9,800 feet in elevation, with 13 feet maximum depth. The lake lies in a boggy meadow encompassed by conifers. The Forest Service maintains a full-service campground at Lilly with 14 units. Fishing pressure is heavy. Lilly is stocked frequently with catchable-sized rainbow trout. Anglers may also creel an occasional brook trout.","Brookies*, Grayling, Rainbows, Tigers",Moderate,\N,\N,\N,0,0,40.6823392,-110.9375189,manual,confirmed
A-59,Lost,Provo River Drainage,,\N,\N,\N,62.0,22,9400,"Lost is a large reservoir located immediately across the highway from Teapot and Lilly lakes. The reservoir is 62 acres maximum, 9,400 feet in elevation, with 22 feet maximum depth. Fishing is sustained by stocking catchable-sized rainbow trout throughout the summer. Lost is a popular camping area and the Forest Service has established an improved campground at the lake.","Brookies, Cutthroats, Rainbows, Tigers",Moderate,"Kip swears he caught grayling here in 2025 near the stream inlet on the east side and I believe him.
Trip Reports",CAUGHT,\N,0,0,40.6764887,-110.9389259,manual,confirmed
A-6,Beth,Provo River Drainage,,\N,\N,\N,5.4,10,9780,"Beth is a shallow, productive lake with an open shoreline and floating grassy banks. It is 5.4 acres, 9,780 feet in elevation, with 10 feet maximum depth. The lake is surrounded by wet meadows. Access is 6½ miles north on the Spring Canyon Road from U-150 and then west for ¼ mile on a marked spur road. There are several good campsites available with areas for mobile camping units. Spring water is unavailable. Horse pasture is present in surrounding meadows but is quite boggy. Beth contains a good population of brook trout. Fisherman use is heavy.",Brookies,High,\N,\N,\N,0,0,40.6522153,-110.9687265,manual,confirmed
A-60,Teapot,Provo River Drainage,,\N,\N,\N,13.0,46,9950,"Teapot is a natural lake which has been modified by the placement of a dam and a retaining dike at the eastern end. It is 13 acres, 9,950 feet in elevation, with 46 feet maximum depth. Teapot is located one mile east of the Trial Lake Turnoff on U-150 approximately 27 miles east of Kamas. The lake receives heavy fishing and camping activity due to its proximity to the Mirror Lake Highway. Teapot is stocked with rainbow and albino rainbow catchables, as well as brook trout.","Brookies, Cutthroats, Grayling, Rainbows, Tigers",High,\N,\N,\N,0,0,40.6807079,-110.9421507,manual,confirmed
A-61,Trial,Provo River Drainage,,"## Location:
Trial Lake also known as Trial L A-61 is located in Summit County, Utah and is part of the Wasatch-Cache National Forrest. The lake is situated in the Uinta Mountains and is just off the popular Mirror Lake Highway. From the city of Kamas take UT-150 for about 25 miles then turn north onto Spring Canyon Road FR041. From the highway there is a sign for Trial Lake, and its a popular area with lots of campgrounds so its easy to find.

## Fish Species:
The DWR regularly stocks Rainbow Trout, Tiger Trout, and Arctic Grayling. The DWR used to stock a lot of Albino Rainbow trout, as well as a smorgasbord of other trout. So you still have a chance of catching other species:

## History:
Clegghistory.org has a pretty good write up on the history of Trial Lake and the surrounding areas.

## Historical DWR Info:
Trial Reservoir is a popular fishing water located a half mile west of the Mirror Lake Highway on an improved forest service road. It is 98 acres maximum, 9800 feet in elevation, with 68 feet maximum depth. There is a large, developed campground Trial providing full service. Fishing pressure very heavy. Trial is stocked with rainbow and albino rainbow catchables, as well as brook trout fingerling.

## Tributaries:
The Provo River enters the lake in the southwest end and exits out the damn spillway, as well as some small mountain streams enter and exit the lake.

## Nearby Areas to Fish:
The Provo River, Diamond Lake, Teapot Lake, Lost Lake Number Two, Lost Lake, Lilly Lake, Lilly Lakes, Ponds Lake, Crystal Lake, Washington Lake, Tall Lake, Lost Creek, Shoestring Lake, Cliff Lake, Wall Lake, and Star Lake. If you follow FR041 west of the lake you can access several other lakes within a short hike.",\N,\N,98.0,68,9800,"Trial Reservoir is a popular fishing water located ¾ mile west of the Mirror Lake Highway on an improved Forest Service Road. It is 98 acres maximum, 9,800 feet in elevation, with 68 feet maximum depth. There is a large, developed campground at Trial providing full service. Fishing pressure is very heavy. Trial is stocked with rainbow and albino rainbow catchables, as well as brook trout fingerling.","Brookies, Cutthroats, Grayling, Rainbows, Tigers",High,\N,\N,\N,0,0,40.682597,-110.9541694,manual,confirmed
A-62,Long Pond,Provo River Drainage,,\N,\N,\N,2.0,5,10100,"Long is a small, narrow pond located on the outlet stream immediately below Long Reservoir. It is 2 acres, 10,100 feet in elevation, with 5 feet maximum depth. Inlet and outlet flows are highly variable and controlled by the reservoir operation. During the winter, the outlet valve is shut down and flows are not sufficient to maintain fish populations. However during the summer Long Pond contains small numbers of brook and cutthroat trout recruited each year from Long Reservoir. Good campsites are available with limited horse feed. Fishing pressure is moderate.","Brookies*, Cutthroats*",Moderate,\N,\N,\N,0,0,40.6794562,-110.9985013,manual,confirmed
A-63,Karen,Provo River Drainage,,\N,\N,\N,\N,\N,\N,This lake does not sustain fish life. It is shown on the map as a landmark.,\N,\N,\N,\N,\N,0,1,40.6798387,-111.0048313,manual,confirmed
A-7,Duck,Provo River Drainage,,\N,\N,\N,12.7,15,9780,"Duck is a reservoired lake located 1¼ miles beyond Long Lake on the Lake Country Trail. It is 12.7 acres, 9,780 feet in elevation, with 15 feet maximum depth. The total distance from the Crystal Lake Trailhead is 3¼ miles. The shoreline is predominantly timbered with scattered meadows and a talus ridge to the west. Duck contains brook and cutthroat trout and receives heavy fishing pressure. Several good campsites are present and limited horse feed is available from the peat meadow.","Brookies*, Cutthroats*",High,\N,\N,\N,0,0,40.6758853,-111.0165514,manual,confirmed
A-8,Pot,Provo River Drainage,,\N,\N,\N,4.0,28,9940,"This reservoired lake is located ¼ mile southwest of Weir on the Weir Lake Cutoff Trail. Pot is 4 acres maximum, 9,940 feet in elevation, with 28 feet maximum depth. The total distance from the Crystal Lake Trailhead is 2¼ miles. The shoreline is rocky with scattered conifers. There are several campsites available, but spring water is not present. Horse pasture can be obtained from scattered meadows to the north and west. Angling pressure is heavy. Pot is stocked with brook trout.",Brookies,High,\N,\N,\N,0,0,40.6736268,-111.0078313,manual,confirmed
A-9,Haystack,Provo River Drainage,,\N,\N,\N,17.0,29,9940,"Haystack is an aesthetic natural lake surrounded by thick coniferous forest and scattered meadows. It is 17 acres, 9,940 feet in elevation, with 29 feet maximum depth. The lake is nearly circular in outline. Access is ¼ mile west of the Spring Canyon Road on a side road limited to four-wheel drive vehicles. Campsites are plentiful along the eastern margin of the lake, but spring water is unavailable. Haystack contains populations of brook and cutthroat trout, and fishing pressure is heavy.","Brookies, Cutthroats*",High,\N,\N,\N,0,0,40.6561092,-110.9716796,manual,confirmed
BR-1,Bourbon lake (Gold Hill),Bear River Drainage,,"Bourbon Lake also known as BR-1 and Gold Hill is located in the Summit County, Utah. The lake lies withing the Bear River drainage of the Uinta Mountains. From Salt Lake City you can get to the trailhead via Kamas and the Mirror Lake Highway. The trailhead is across the street from the Sulphur campground and in between the turn off to Ruth Lake and Whitney Reservoir. From Salt Lake it takes a little less than 2 hours via the Kamas route and about 2 hours and 20 minutes via Evanston, Wyoming.

The trailhead begins right from the parking turn off at Mirror Lake highway. The trail head is called Whiskey Creek Trail and there is a sign. The trail follows Whiskey Creek for the first half of the hike, then heads west towards the two lakes. BR-2 is a smaller lake about 300 feet southeast of Bourbon Lake and is definitely worth stopping at. The hike only gains about 680 feet of elevation from beginning to end. This makes for a pleasant hike that most average people should have no problem with. On our way out we stopped by BR-50. There is no trail to BR-50 and you will likely need a GPS to find it.

Bourbon Lake is stocked with brook trout on a 4 year cycle. 2012, 2016, and 2020. The average size fish is stocked is 2.5 inches, and the around 200 fish stocked each time.

BR-2 is stocked with brook trout on a 3 year cycle. 2013, 2016, and 2019. Before 2013 the lake had not been stocked for a few decades.

BR-50 is stocked with brook trout on a 3 year cycle. In 2012 stocked with 608 fish, in 2015 stocked with 960 fish, and in 2018 it was stocked with 1150 fish. Marshes and downed trees make this lake difficult to fish.

You can read more about the hike at Girl On A Hike and Utah's Adventure Family. Gold Hill lies to the north west about 2 sky miles. Deseret News had a good story on legends of gold in the area.

From DWR pamphlet 1985.

BOURBON (GOLD HILL), BR-1. Bourbon is a small crescent-shaped lake in timbered country at the foot of a steep, jagged peak and associated talus rock. It is 1.9 acres, 9,820 feet in elevation, with 8 feet maximum depth. Campsites are poor in the lake vicinity, but a spring water source is available. Bourbon is located 1 steep mile west of Highway U-150 on the Whiskey Creek Trail which begins across the highway from the Sulpher Campground. Access is also afforded by the Whiskey Creek Road which begins across the highway from and slightly north of the Kletting Peak Information Turnoff. Follow this road north and west for 2 and 1 half miles to the end and then continue northwest on foot for 1/4 mile to the lake. Bourbon, containing a population of brook trout, is a popular fishing spot.

BR-2. This productive meadow pond is located some 100 yards downstream from Bourbon Lake in the Hayden Fork of the Bear River Drainage. It is 0.7 acres, 9,780 feet in elevation, with 5 feet maximum depth. Small and quite shallow, BR-2 would not appear to provide suitable fish habitat. However, the lake contains a population of brook trout sustained by natural reproduction and downstream migration from Bourbon Lake. Camping opportunities are available with a limited supply of horse feed. Spring water is available at Bourbon. Fishing pressure is light despite the easy access afforded by the Whiskey Creek timber road.

From DWR pamphlet 1964.

GOLD HILL, BR-1. 2 acres, elevation 9,600 feet, maximum depth 12 feet. 1 almost vertical mile southwest of the Sulphur Campground on the Hayden Fork Highway 150. Very steep, rugged, heavily timbered terrain. No trail to the lake. This picturesque, crescent shaped lake lies directly below the ""white ledges.” Poor campsites and no horse feed. Clear water with wary brook trout. Not frequently fished.

BR-50 Max depth is 27 feet.

Whiskey Island Lake, Whitney Reservoir, Beaver Lake, Fish Lake, Round Lake, Sand Lake, Ruth Lake, Hayden Lake, Cutthroat Lake, Hell Hole, and Lily Lake.

Bourbon Lake

Gold Hill

BR-2

BR-50

Whiskey Creek Trail Head",\N,\N,2.0,8,9820,"Bourbon is a small crescent-shaped lake in timbered country at the foot of a steep, jagged peak
and associated talus rock. It is 2 surface acres, 9,820 feet in elevation, with 8 feet maximum
depth. Campsites are poor in the lake vicinity, but a spring water source is available. Bourbon is
located 1 steep mile west of state Route 150 on the Whiskey Creek Trail which begins across
the highway from the Sulphur Campground. Access is also afforded by the Whiskey Creek Road
which begins across the highway from and slightly north of the Kletting Peak information
turnoff. Follow this road north and west for 2.5 miles to the end, and then continue northwest on
foot 0.25 mile to the lake. Bourbon, containing a population of brook trout, is a popular fishing
spot.",Brookies,Moderate,\N,\N,\N,0,0,40.78447335869806,-110.89852809906007,manual,confirmed
BR-10,Beaver,Bear River Drainage,,"Beaver Lake also known as BR-10 is located in Summit County, Utah and is part of the northwest Uinta Mountain area. The lake is located about a half mile southwest of Whitney Reservoir. From the Mirror Lake Highway take the Whitney Road exit and head 7 miles west to Whitney Reservoir, then follow the road around 3 more miles. The exit to Whitney Road is just southwest of the Christmas Meadows Area. The main road from the Mirror Lake Highway is on Forrest Road 32 which becomes Forrest road 69. You can also take Forrest Road 310 or 109, although these roads are rough and better suited for a 4wheeler.

Rainbow Trout are the likely catch. On average the lake is stocked with around 2,000 rainbow trout a year measuring around 10"".

Beaver Lake is 13 acres in size, it has an elevation of 9,500 feet, maximum depth 32 feet, and an average depth of 16 feet. 10 miles by jeep road. Follow the Whitney Forest Service Guard Station road from the Hayden Fork Highway 150, as posted. A round lake with an open shoreline. Excellent campsites. There are numerous beaver dams in this area; several provide some excellent fishing. The streams in the area are generally good fishing. Stocked with brook trout. A very productive lake.

Beaver is a scenic meadow lake located in open terrain characterized by grassy slopes and scattered groves of conifers in the West Fork Drainage. The lake is 13.2 acres, 9,420 feet in elevation, with 32 feet maximum depth. Beaver is easily accessible on the Moffit Pass Road 1% miles southwest of the Whitney Reservoir dam. The total distance from U-150 in the Hayden Fork Drainage is about 9 miles. Excellent sites are available for camping activity, but spring water and fuelwood are scarce. Large shallow shelves and dense growths of aquatic vegetation around the lake perimeter make shore fishing very difficult. Anglers are encouraged to bring boats or rubber rafts. Beaver Lake is productive in nature and subject to frequent winterkill. As a result, the Forest Service has installed a water circulator on the surface of this lake in an attempt to improve winter survival. Beaver is currently stocked on an annual basis with catchable-sized rainbow trout and may contain brook and cutthroat trout.

There are some beaver ponds near the area with rainbow trout in them. Whitney Reservoir, west fork of the Bear River, and Bourbon Lake.",\N,\N,13.2,32,9420,"Beaver is a scenic meadow lake located in open terrain characterized by grassy slopes and
scattered groves of conifers in the West Fork drainage. The lake is 13.2 surface acres, 9,420 feet
in elevation, with 32 feet maximum depth. Beaver is easily accessible on the Moffit Pass Road
1.75 miles southwest of the Whitney Reservoir dam. The total distance from state Route 150 in
the Hayden Fork drainage is about 9 miles. Excellent sites are available for camping activity, but
spring water and fuelwood are scarce. Large shallow shelves and dense growths of aquatic
vegetation around the lake perimeter make shore fishing very difficult. Anglers are encouraged
to bring boats or rubber rafts. Beaver Lake is productive in nature and subject to frequent
winterkill. As a result, the USFS has installed a water circulator on the surface of this lake in an
attempt to improve winter survival. Beaver is currently stocked on an annual basis with
catchable-sized rainbow trout and may contain brook trout.","Brookies*, Brown Trout*, Cutthroats, Rainbows, Tigers",Moderate,\N,\N,\N,0,0,40.8276772,-110.9420052,manual,confirmed
BR-11,Lilly,Bear River Drainage,,"Whitney Reservoir is located in the Uinta-Wasatch-Cache National Forest, in Utah. From the Mirror Lake Highway take the Whitney Road exit and head 7 miles west to the Reservoir. The exit to Whitney Road is just southwest of the Christmas Meadows Area. The dirt road is in pretty good shape. Last time we were there cars, and minivans had no issue with the road.

Rainbow trout, Brook Trout, and Tiger Trout.

This is a wake-less reservoir.

Tributaries of the reservoir. CLOSED Jan. 1 through 6 a.m. on the second Saturday of July.

West Fork of the Bear River, Beaver Lake, Boyer Lake, Round Lake, Sand Lake, Fish Lake, Lily Lake BR-11, Scow Lake, Hell Hole Lake, Bourbon Lake, and Whiskey Island Lake.

Whitney Reservoir

Beaver Lake

BR-50

Bourbon Lake

BR-2",\N,\N,10.5,20,8890,"Lily is an extremely large beaver pond situated in partly open, timbered terrain east of state
Route 150 in the East Fork drainage. It is 10.5 surface acres, 8,890 feet in elevation, with 20 feet
maximum depth. Access is 1 mile north of the Bear River Ranger Station on Route 150 to a
well-marked turnoff and then some 2 miles southeast on the unimproved Lily Lake Boundary
Creek Road to the lake. Primitive camping areas are available with no source of spring water. A
forest fire occurred in the vicinity of Lily Lake during 1980, burning much of the timber to the
east of the lake. Lily is stocked on an annual basis with catchable rainbow trout. However, this
productive water may stagnate late in the summer and the best fishing usually occurs prior to
July 20. Lily sustains moderate levels of angler utilization.","Rainbows, Tigers*",Moderate,\N,\N,\N,0,0,40.6823392,-110.9375189,manual,confirmed
BR-12,Scow,Bear River Drainage,,\N,\N,\N,21.4,6,10100,"Scow is a spring-fed meadow lake located in heavy timber on the ridge between the Stillwater
and Boundary Creek drain­ages. It is 21.4 surface acres, 10,100 feet in elevation, with 6 feet
maximum depth. Access is 2.5 miles south of the East Fork of the Bear River Boy Scout Camp
on the Boundary Creek Trail past the old burn to a small off-stream meadow. From this point,
continue south for 0.75 mile through thick timber to the lake. Campsites are present with some
horse feed in surrounding wet meadows. Spring water is readily available during the early
summer months. Scow Lake is stocked with brook trout, but fishing is unpredictable due to
occasional winterkill.",Brookies,Low,\N,\N,\N,0,0,40.8211322,-110.7816489,manual,confirmed
BR-14,Mcpheters,Bear River Drainage,,\N,\N,\N,28.3,45,10860,"This picturesque natural lake is situated near timberline at the head of the Middle Basin of the
Stillwater Fork drain­age. McPheters is 28.3 surface acres, 10,860 feet in elevation, with 45 feet
maximum depth. The surrounding terrain is composed of extensive bedrock shelves, windswept
alpine meadows and talus slopes. The lake is irregular in outline with a narrow, shallow arm to
the east. Access is 0.5 mile northwest of Ryder Lake to the top of the rocky ridge. The total
distance from the Christmas Meadows Trailhead is 9 miles. Campsites and horse feed are not
immediately available due to the open nature of the terrain and absence of fuelwood. However,
good sites are present nearby. Spring water is plentiful. McPheters Lake sustains a small
population of cutthroat trout through natural reproduction and is also stocked regularly with
tiger trout.","Cutthroats*, Tigers",Moderate,\N,\N,\N,0,0,40.7315825,-110.8303872,manual,confirmed
BR-15,Ryder,Bear River Drainage,,\N,\N,\N,24.4,55,10620,"This deep natural lake is situated in open timber with beautiful meadows and steep, rocky
ledges. Ryder is 24.4 surface acres, 10,620 feet in elevation, with 55 feet maximum depth. Inlets

cascade off cliffs to the west adding to the aesthetic qualities of this water. Access is 8.5 miles
south of the Christmas Meadows Trailhead on the Stillwater Pack Trail. This trail becomes
indistinct and difficult to locate in meadow areas immediately east of the lake, but the route is
clearly marked with rock cairns. Campsites are present with spring water sources. Horse feed is
available in limited supply, but is more abundant to the east adjacent to the access trail. Ryder
contains a large population of brook trout and provides good fly fishing on occasion.",Brookies*,Moderate,\N,CAUGHT,"<ul class=Apple-dash-list>
<li>2024 August: Spent an hour here with Dilworth before heading up to McPheters. Tons of hungry small brookies right along the shore.</li>
</ul>",0,0,40.7248611,-110.8283186,manual,confirmed
BR-16,\N,Bear River Drainage,,\N,\N,\N,1.3,5,10610,"BR-16 is a small, narrow pond situated at the foot of a rocky ridge on the stream immediately
below Ryder Lake in the Stillwater Fork drainage. It is 1.3 surface acres, 10,610 feet in elevation,
with 5 feet maximum depth. Suitable camping areas are available in the lake vicinity with horse
pas­ture in large parks to the east. Spring water can be obtained at nearby Ryder Lake. BR-16
contains a population of brook trout maintained by natural reproduction and recruitment from
Ryder Lake. Fish­ing pressure is regarded as moderate to light.","Brookies*, Cutthroats*",Low,\N,\N,\N,0,0,40.726837,-110.8228024,manual,confirmed
BR-17,\N,Bear River Drainage,,\N,\N,\N,2.8,7,10630,"BR-17 is a small spring-fed lake located in sparsely timbered terrain in the Middle Basin of the
Stillwater Fork drainage. It is 2.8 surface acres, 10,630 feet in elevation, with 7 feet maximum
depth. BR-17 is situated immediately south of Ryder Lake. Several good potential campsites are
available with very little horse feed. Spring water can be obtained from any one of several
sources feeding the lake. BR-17 contains a population of pan-sized brook trout sustained by
natural reproduction. A major portion of the shoreline at this timberline lake is open enough to
permit fly casting. Angling pressure is moderate to light.",Brookies*,Moderate,\N,\N,\N,0,0,40.7220357,-110.8282439,manual,confirmed
BR-18,\N,Bear River Drainage,,\N,\N,\N,5.5,12,10610,"This spring-fed glacial lake is located in timberline terrain 200 yards southeast of Ryder Lake or
immediately downstream from BR-17 in the Stillwater Fork drainage. The lake is 5.5 surface
acres, 10,610 feet in elevation, with 12 feet maximum depth. Good campsites are available with
abundant spring water in the lake vicinity. Limited horse feed can be located in the general area.
BR-18 contains a good population of brook trout and provides some fair fishing on occasion.
Recreational use is generally light.",Brookies*,Low,\N,\N,\N,0,0,40.7217145,-110.8243178,manual,confirmed
BR-19,Meadow Lake,Bear River Drainage,,\N,\N,\N,2.8,5,10470,"Meadow Lake is a shallow natural lake located in rocky, timbered country directly east of and
downstream from BR-18 in the Stillwater Fork drainage. It is 2.8 surface acres, 10,470 feet in
elevation, with 5 feet maximum depth. There are several deep water channels running through
the middle of the lake. Good camping opportunities are availa­ble with excellent sources of
spring water. Horse feed is located to the north. The best route of access is to head 0.25 mile
southeast of the Stillwater Pack Trail from the vicinity of the large meadows due east of Ryder
Lake. Meadow contains a population of brook trout sustained by natural reproduction. The lake
experiences light angling pressure and provides a good opportunity for anglers who wish to get
away from the crowds.",Brookies*,Low,\N,\N,\N,0,0,40.7207987,-110.8149471,manual,confirmed
BR-2,\N,Bear River Drainage,,\N,\N,\N,0.7,5,9780,"This productive meadow pond is located some 100 yards downstream from Bourbon Lake in the
Hayden Fork of the Bear River drainage. It is 0.7 acre, 9,780 feet in elevation, with 5 feet
maximum depth. Small and quite shallow, BR-2 would not appear to provide suitable fish habitat.
However, the lake contains a population of brook trout sustained by natural reproduction and

downstream migration from Bourbon Lake. Camping opportunities are available with a limited
supply of horse feed. Spring water is available at Bourbon. Fishing pressure is light despite the
easy access afforded by the Whiskey Creek timber road.",Brookies,Low,\N,\N,\N,0,0,40.7835195,-110.8969015,manual,confirmed
BR-20,Kermsuh,Bear River Drainage,,\N,\N,\N,11.8,14,10300,"Kermsuh is a long, narrow lake situated in rocky timbered country in the isolated West Basin of
the Stillwater Fork drain­age. It is 11.8 surface acres, 10,300 feet in elevation, with 14 feet
maximum depth. Campsites are poor due to the rocky nature of the surrounding terrain, but
running water is abundant. Horse feed can be located in a small meadow to the south. Access is
4.25 miles south of Christmas Meadows on the Stillwater Pack Trail to the junction with the
Kermsuh Lake Trail and then 2.25 miles southwest up the steep grade into West Basin. The
cutthroat trout population is sustained by natural reproduc­tion. This lake provides a good
opportunity for users seeking solitude.",Cutthroats*,Low,"This guy shares his experience taking a “shortcut” up and over Hayden/Kettling. Sounds like not really a shortcut, but could be interesting to hike in via Stillwater, then hike out over that shortcut to a waiting shuttle. Probably no net time savings though. Kermsuh ""shortcut"" | Backcountry Post (https://backcountrypost.com/threads/kermsuh-shortcut.2363/) . “Thanks, It was a sweet view up there. The saddle is between Hayden and Kletting, closer to Kletting. It is the low point on the ridge as you look at it from hwy 150 anywhere around the Ruth lake TH. I started hiking at one of the pull offs just 1/2 mile down the road (North) of Ruth lake TH.”
Trip Reports",\N,\N,0,0,40.748243,-110.8306184,manual,confirmed
BR-21,\N,Bear River Drainage,,\N,\N,\N,\N,\N,\N,This lake does not sustain fish life. It is shown on the map as a landmark.,\N,\N,\N,\N,\N,0,1,40.7422691,-110.8307859,manual,confirmed
BR-22,\N,Bear River Drainage,,\N,\N,\N,\N,\N,\N,This lake does not sustain fish life. It is shown on the map as a landmark.,\N,\N,\N,\N,\N,0,0,40.7567035,-110.8492235,manual,confirmed
BR-23,\N,Bear River Drainage,,\N,\N,\N,\N,\N,\N,This lake does not sustain fish life. It is shown on the map as a landmark.,\N,\N,\N,\N,\N,0,1,40.740393,-110.8073643,manual,confirmed
BR-24,\N,Bear River Drainage,,\N,\N,\N,2.3,10,10460,"This small cirque lake abuts a rocky ledge and talus slope in Amethyst Basin. BR-24 is 2.3
surface acres, 10,460 feet in elevation, with 10 feet maximum depth. The lake is emerald green
in color due to a glacial turbidity, and is quite shallow in overall depth. BR-24 is located within
sight of the Amethyst Lake Trail 5.12 miles southeast of the Christmas Meadows Trailhead just
beyond the lower meadows. Excellent campsites are available in the lake vicinity with ample
horse feed in the lower meadows. Spring water is available from several inlet sources. BR-24 is
stocked with tiger trout.","Cutthroats*, Tigers",Low,\N,\N,\N,0,0,40.7586614,-110.7721163,manual,confirmed
BR-25,Toomset,Bear River Drainage,,\N,\N,\N,2.3,11,10300,"This natural oval-shaped lake is located in a small glacial basin against sliderock 0.25 mile north
of Ostler Lake in Amethyst Basin. Toomset Lake is 2.3 surface acres, 10,300 feet in elevation,
with 11 feet maximum depth. Camping areas are poor in the vicinity of the lake with no available
horse feed or spring water. Better sites for camping activity are located in the lower meadows
due east of Ostler Lake. Toomset contains a brook trout population maintained by natural
reproduction. The lake is often overlooked by anglers. Toomset provides a good opportunity to
get away from the crowds in Amethyst Basin.",Brookies*,Low,Pretty nice spot for camping.,CAUGHT,"2024 Oct: caught several that were small to medium size. Ryan and I spent two nights here, day-tripping up to Amethyst.",0,0,40.7681096,-110.7774797,manual,confirmed
BR-26,Salamander lake,Bear River Drainage,,\N,\N,\N,3.7,13,10020,"Salamander is a productive natural lake with boggy banks situated atop a timbered ridge in the
Ostler Fork drainage. It is 3.7 surface acres, 10,020 feet in elevation, with 13 feet maximum
depth. Access is 3.5 miles south and east of the Christmas Meadows Trailhead on the Stillwater
and Amethyst Lake pack trails to the first meadow in Amethyst Basin. From this point, proceed
southwest up the ridge to the rake. Salamander Lake is surrounded by heavy timber and can be
difficult to locate. Campsites are poor. Running water and horse feed are not availa­ble in the lake
vicinity. Salamander Lake is occasionally stocked with brook trout.",Brookies,Low,\N,\N,\N,0,0,40.7777889,-110.7813699,manual,confirmed
BR-27,Ostler,Bear River Drainage,,\N,\N,\N,13.2,14,10540,"Ostler is an irregularly shaped natural lake located in a small glacial pocket in rocky timberline
terrain at the western end of Amethyst Basin. The lake is 13.2 surface acres, 10,540 feet in
elevation, with 14 feet maximum depth. Access is 5.25 miles southeast of the Christmas
Meadows Trailhead on the Stillwater and Amethyst Lake pack trails to the lower meadows and
then 0.25 mile west up the steep hillside to Ostler. Some campsites with limited horse feed are
available at the southwestern end of the lake. However, better sites are available in the vicinity of
the lower meadows. Spring water is present at the lake through July. Ostler is stocked with tiger
trout on a regular cycle.","Cutthroats*, Tigers",Moderate,\N,\N,\N,0,0,40.762259,-110.7786169,manual,confirmed
