letter_number,name,drainage,basin,junesucker_notes,coordinates,map_link,size_acres,max_depth_ft,elevation_ft,dwr_notes,fish_species,fishing_pressure,jed_notes,status,trip_reports,notes_needs_update,no_fish,lat,lng,coord_source,coord_status
A-19,Little Elk,Provo River Drainage,,"Little Elk Lake also known as A-19 or Pot Lake, is located in Summit County, Utah. The lake is part of the Uinta-Wasatch-Cache National Forest. Litlle Elk Lake lies in the Erickson Basin region of the Provo River Drainage, in the Uinta Mountains. From the Norway Flats exit off of the Mirror Lake Highway take forest road 35 for about 5 and a half miles. The road is pretty rocky and a vehicle with decent ground clearance is highly recommended.

The drive up  FR 35 takes on average an hour. There is a turnoff a little over 5 miles up called Forest Road 035B. Do not take FR 035B in a vehicle. The road is full of sharp slate rock that will destroy your tires. Stick to road 035. There is a turn off you can take on Forest Road 916 which will lead to a small pond.

The hike from the pond is about 1/3 mile. Follow the stream up the canyon and stay on the right side of it (east side). After a bit you will climb over the hill to drop into Little Elk Lake. If you hike up the left side of the stream (west side) and climb over the hill you will drop into Hourglass Lake. Although if you stay on 035 it is only a 1/10 of a mile to drop west into Little Elk. Last we were there we saw several people hike the last mile and a half, on 035. The closer you get to the lake the worse the road gets.

Cutthroat is planted here on average about every 3 years. In 2011 just under 1200 Tiger Trout were stocked here. It is highly doubtful that any of the Tiger Trout are still around.

1999
Little Elk has an irregular shoreline and is located in a rocky basin in the Norway Flats vicinity. It is 13.2 acres, 9,780 feet in elevation. With 31 feet maximum depth. There are no inlets or outlets, and the water level drops about ten feet annually. Access is 6 and a half miles north off Highway U- I 50 on the Norway Flats Road to the well-marked Little Elk turnoff and then north for 1/2 mile. There are several campsites along the lake margin, but spring water is unavailable. Recreational pressure is moderate. The lake is subject to winter kills. It is stocked with cutthroat trout. Brook Trout used to be stocked here a very long time ago.

1964
LITTLE ELK, A-19. (Also known as Pot.) 10 acres, maximum depth 27 feet, elevation 9,200 feet. A fifteen minute walk north of Norway Flats. Sits in timbered country with rocky shores. A high cliff rises from the west shore. Stocked with brook. Also contains a few cutthroat.

Hourglass Lake A-48, Lower Shingle Creek Lake P-62, Boulder Creek, Big Elk Lake A-18, South Erickson Lake W-25, North Erickson Lake W-26, East Shingle Creek Lake A-39, and West Shingle Creek Lake P-60.

Were You Looking For? Little Elk Lake Lake DF-17 in Uintah County.

Little Elk Lake

Hourglass Lake

Big Elk Lake",\N,\N,13.2,31,9780,"Little Elk has an irregular shoreline and is located in a rocky basin in the Norway Flats vicinity. It is 13.2 acres, 9,780 feet in elevation, with 31 feet maximum depth. There are no inlets or outlets, and the water level drops about 10 feet annually. Access is 6½ miles north of Highway U-150 on the Norway Flats Road to the well-marked Little Elk turnoff and then north for ¼ mile. There are several campsites along the lake margin, but spring water is unavailable. Recreational pressure is moderate. The lake is subject to winterkills. It is stocked with cutthroat trout.","Cutthroats, Grayling, Tigers*",Moderate,\N,\N,\N,0,0,40.6604028,-111.0622281,manual,confirmed
A-2,Lambert,Provo River Drainage,,\N,\N,\N,2.0,8,9630,"Lambert is a shallow, natural lake with floating banks. It is 2 acres, 9,630 feet in elevation, with 8 feet maximum depth. The lake is situated in a large wet meadow with conifers flanking the southern lake margin. Thick patches of pond lily are common in the shoal areas. Access is 2 miles north of Highway U-150 on the Spring Canyon Road to the Lambert Meadow turnoff. Proceed northwest on this road past the large meadow to a point where the road turns abruptly west, and then head northeast on foot for 300 yards to the lake. Camping opportunities are limited, and spring water is unavailable. Lambert Lake is stocked with brook trout.",Brookies,Low,\N,\N,\N,0,0,40.6278747,-110.9921633,manual,confirmed
A-20,Brook,Provo River Drainage,,\N,\N,\N,1.1,6,9720,"Brook is an aesthetic alpine lake situated in a small, wet meadow in timbered country. The lake is 1.1 acres, 9,720 feet in elevation, with 6 feet maximum depth. Access is 4 miles south and west of the Crystal Lake Trailhead on the Lake Country and the Weir Lake trails. The latter trail becomes indistinct beyond Weir Lake, and topographic maps may prove useful in attempts to locate Brook Lake. Campsites and spring water are available, but horse pasture is limited. Brook contains a moderate population of brook trout which may be subject to sporadic winterkill. Recreational use at Brook Lake is moderate.",Brookies,Moderate,\N,\N,\N,0,0,40.6643379,-111.0200926,manual,confirmed
A-21,Carol,Provo River Drainage,,\N,\N,\N,2.9,\N,\N,"This lake does not sustain fish life. Carol Lake is a small, natural lake surrounded by a wet meadow and rocky, conifer-covered hills. It is just west of Washington Lake. The surface area is 2.9 acres, maximum depth is 7 feet and the elevation is 10,180 feet.",\N,\N,\N,\N,\N,0,1,40.6713767,-110.9782623,manual,confirmed
A-22,Diamond,Provo River Drainage,,\N,\N,\N,3.0,7,9900,"Diamond is a productive lake which lies in a large meadow at the head of the eastern most tributary to Trial Lake. The lake is 3 acres, 9,900 feet in elevation, with 7 feet maximum depth. Limited overnight camping is available with spring water and horse feed. Improved campsites with tap water and rest room facilities are also present at the nearby Trial Lake campground. The fishery is composed of a small population of wary brook and cutthroat trout. Angling pressure is moderate.","Brookies, Cutthroats*",Moderate,\N,\N,\N,0,0,40.6853103,-110.9447347,manual,confirmed
A-23,Washington,Provo River Drainage,,\N,\N,\N,106.0,70,9900,"Washington is a large reservoired lake located in thick timber at the northern arm of Haystack Mountain. It is 106 acres maximum, 9,900 feet in elevation, with 70 feet maximum depth. Access is ¼ mile west of U-150 at the Trial Lake Turnoff to the Crystal Lake Road. Take an immediate left turn from the Crystal Lake Road and proceed west for ¼ mile over a rough road to Washington. Campsites are available but spring water is not present. Washington Lake contains populations of catchable-sized rainbow trout sustained by stocking, as well as brook and cutthroat trout. Angling pressure is heavy.","Brookies, Cutthroats, Grayling, Rainbows, Tigers",High,\N,\N,\N,0,0,40.6752425,-110.9675613,manual,confirmed
A-24,Lily Upper,Provo River Drainage,,\N,\N,\N,3.2,12,10020,"Upper Lily Lake is a natural meadow lake with a productive substrate and boggy banks. It is 3.2 acres, 10,020 feet in elevation, with 12 feet maximum depth. The lake meadow is surrounded on all sides by conifers. Access is 200 yards north of the Crystal Lake Trailhead on the Notch Mountain Trail which passes between Upper and Lower Lily lakes. Upper Lily lies west of the trail. There are several campsites situated along the western lake margin, but spring water is not present. Horse feed is available in limited supply. Upper Lily Lake is not stocked and has been set aside as a botanical station for Brigham Young University.",\N,\N,\N,\N,\N,0,0,40.68395753777234,-110.9647035598755,manual,confirmed
A-25,Lily Lower,Provo River Drainage,,\N,\N,\N,3.2,16,10030,"Lower Lily is a productive meadow lake located 200 yards north of the Crystal Lake Trailhead on the Notch Mountain Trail. It is 3.2 acres, 10,030 feet in elevation with 16 feet maximum depth. Lower Lily is the eastern most of the two Lily lakes. The southern arm of the lake is very shallow and completely covered by pond lily. The northern arm is deep in spots. Fishing pressure is primarily day use with very little overnight camping activity. There are several potential areas for campsites, but drinking water must be carried in. Lower Lily contains brook trout and angling pressure is heavy.",Brookies,High,\N,\N,\N,0,0,40.684217884706875,-110.96272945404054,manual,confirmed
A-26,Petit (Junior #5),Provo River Drainage,,\N,\N,\N,2.0,3,10300,"Petit is a productive meadow lake located on the ridge north of Cliff Lake. It is 2 acres, 10,300 feet in elevation, with 3 feet maximum depth. The lake is shallow throughout with no deep holes. Access is ¼ mile north of the Crystal Lake Trailhead on the unmarked Watson-Clyde Trail. Campsites and horse feed are available in the general lake vicinity, and spring water is present at Cliff Lake. Petit contains a small population of wary brook trout. Angling pressure is moderate.",Brookies,Moderate,\N,\N,\N,0,0,40.69132821714957,-110.96749305725099,manual,confirmed
A-27,Watson,Provo River Drainage,,\N,\N,\N,6.0,10,10420,"This shallow, productive lake is located in thick coniferous forest at the base of Watson Mountain. Watson is 6 acres, 10,420 feet in elevation, with 10 feet maximum depth. The lake is irregular in outline with a large shallow bay to the southeast. Access is one mile north of the Crystal Lake Trailhead on the Watson Clyde Trail. Campsites are present with available spring water. Horse feed can be obtained to the south in the vicinity of Petit Lake. Angling pressure is moderate. The lake contains brook trout.",Brookies,Moderate,\N,\N,\N,0,0,40.6947059,-110.9702005,manual,confirmed
